state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
Alabama,0.044731,,,,,,,,
Alabama,0.044731,,,,,,,,
Alabama,0.001146,,,,,,,,
Alabama,0.001146,,,,,,,,
Alabama,0.045658,,,,,,,,
Alabama,0.045658,,,,,,,,
Alabama,0.022514,,,,,,,,
Alabama,0.022514,,,,,,,,
Alabama,0.023523,,,,,,,,
Alabama,0.023523,,,,,,,,
Alabama,0.045684,,,,,,,,
Alabama,0.045684,,,,,,,,
Alabama,0.000573,,,,,,,,
Alabama,0.000573,,,,,,,,
Alabama,0.0,,,,,,,,
Alabama,0.0,,,,,,,,
Alabama,0.0,,,,,,,,
Alabama,0.0,,,,,,,,
Alabama,0.000493,,,,,,,,
Alabama,0.000493,,,,,,,,
Alabama,0.044645,,,,,,,,
Alabama,0.044645,,,,,,,,
Alabama,0.026249,,,,,,,,
Alabama,0.026249,,,,,,,,
Alabama,0.000301,,,,,,,,
Alabama,0.000301,,,,,,,,
Alabama,0.00028,,,,,,,,
Alabama,0.00028,,,,,,,,
Alabama,0.020301,,,,,,,,
Alabama,0.020301,,,,,,,,
Alabama,0.000409,,,,,,,,
Alabama,0.000409,,,,,,,,
Alabama,0.015208,,,,,67.0,419.0,0.0,486.0
Alabama,0.015208,,,,,67.0,419.0,0.0,486.0
Alabama,0.015052,,,,0.085,67.0,419.0,0.0,486.0
Alabama,0.015052,,,,,67.0,419.0,0.0,486.0
Alabama,0.040254,,,,,67.0,419.0,0.0,486.0
Alabama,0.040254,,,,,67.0,434.0,0.0,501.0
Alabama,0.040411,,,,,67.0,434.0,0.0,501.0
Alabama,0.040411,,,,,67.0,434.0,0.0,501.0
Alabama,0.02915,,,,,67.0,434.0,0.0,501.0
Alabama,0.02915,-0.72601068,,,,67.0,434.0,0.0,501.0
Alabama,0.030071,-0.37930334,,,,67.0,436.0,0.0,503.0
Alabama,0.030071,-0.79398799,,,,67.0,436.0,0.0,503.0
Alabama,0.014047,-1.3764027,,,,67.0,436.0,0.0,503.0
Alabama,0.014047,-1.8620982,,,,67.0,436.0,0.0,503.0
Alabama,0.012199,,,,,67.0,436.0,0.0,503.0
Alabama,0.012199,-0.95090538,,,,67.0,438.0,0.0,505.0
Alabama,0.011804,-1.367484,,,,67.0,438.0,0.0,505.0
Alabama,0.011804,-1.3493973,,,,67.0,438.0,0.0,505.0
Alabama,0.070692,-1.7730249,,,,67.0,438.0,0.0,505.0
Alabama,0.070692,-1.7198497,,,0.067,67.0,438.0,0.0,505.0
Alabama,0.001268,-1.1633315,,,,67.0,446.0,0.0,513.0
Alabama,0.001268,-0.91904318,,,,67.0,446.0,0.0,513.0
Alabama,0.028871,-0.58026749,,,,67.0,446.0,0.0,513.0
Alabama,0.028871,-1.1297929,,,,67.0,446.0,0.0,513.0
Alabama,0.059504,-1.491815,,-0.368151248,,,,,
Alabama,0.059504,-0.1119853,,,,67.0,451.0,0.0,518.0
Alabama,0.062289,-1.2554561,,,0.071,,,,
Alabama,0.062289,-0.10050994,,,,67.0,451.0,0.0,518.0
Alabama,0.043887,-1.6091958,,,,67.0,451.0,0.0,518.0
Alabama,0.043887,-1.6327436,,,,67.0,451.0,0.0,518.0
Alabama,0.052396,-1.9081072,1.45,-9.99752296,,67.0,458.0,0.0,525.0
Alabama,0.052396,-1.4122977,,,,67.0,458.0,0.0,525.0
Alabama,0.003817,-1.4495198,,-11.50725528,,67.0,458.0,0.0,525.0
Alabama,0.003817,,,,,67.0,458.0,0.0,525.0
Alabama,,,,-9.722485454,,67.0,458.0,0.0,525.0
Alabama,,,,,,67.0,461.0,0.0,528.0
Alabama,,,,,,67.0,461.0,0.0,528.0
Alabama,,,,,,67.0,461.0,0.0,528.0
Alabama,,,,,,67.0,461.0,0.0,528.0
Alabama,,,,,,,,,
Alabama,,,,,,,,,
Alabama,,,,,,,,,
Alabama,,,,,,,,,
Alabama,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,,,,,,,,,
Arkansas,0.002421,,,,,,,,
Arkansas,0.002421,,,,,,,,
Arkansas,0.122172,,,,,,,,
Arkansas,0.122172,,,,,,,,
Arkansas,0.001199,,,,,,,,
Arkansas,0.001199,,,,,,,,
Arkansas,0.000755,,,,,,,,
Arkansas,0.000755,,,,,,,,
Arkansas,0.052765,,,,,,,,
Arkansas,0.052765,,,,,,,,
Arkansas,0.109103,,,,,,,,
Arkansas,0.109103,,,,,,,,
Arkansas,0.001413,,,,,,,,
Arkansas,0.001413,,,,,,,,
Arkansas,0.001208,,,,,,,,
Arkansas,0.001208,,,,,,,,
Arkansas,0.102467,,,,,,,,
Arkansas,0.102467,,,,,,,,
Arkansas,0.001092,,,,,,,,
Arkansas,0.001092,,,,,,,,
Arkansas,0.002724,,,,,,,,
Arkansas,0.002724,,,,,,,,
Arkansas,0.187194,,,,,,,,
Arkansas,0.187194,,,,,,,,
Arkansas,0.180124,,,,,,,,
Arkansas,0.180124,,,,,,,,
Arkansas,0.002667,,,,,,,,
Arkansas,0.002667,,,,,,,,
Arkansas,0.000402,,,,,,,,
Arkansas,0.000402,,,,,,,,
Arkansas,0.029883,,,,,,,,
Arkansas,0.029883,,,,,,,,
Arkansas,0.024764,,,,,,,,
Arkansas,0.024764,,,,,,,,
Arkansas,0.051631,,,,,,,,
Arkansas,0.051631,,,,,,,,
Arkansas,0.000949,,,,,,,,
Arkansas,0.000949,,,,,,,,
Arkansas,0.022509,,,,,,,,
Arkansas,0.022509,,,,,,,,
Arkansas,0.02467,,,,,,,,
Arkansas,0.02467,,,,,,,,
Arkansas,0.049412,,,,,,,,
Arkansas,0.049412,,,,,,,,
Arkansas,0.02725,,,,,,,,
Arkansas,0.02725,,,,,,,,
Arkansas,0.078046,,,,,,,,
Arkansas,0.078046,,,,,,,,
Arkansas,0.055202,,,,,,,,
Arkansas,0.055202,,,,,,,,
Arkansas,0.001722,,,,,,,,
Arkansas,0.001722,,,,,,,,
Arkansas,0.089116,,,,,,,,
Arkansas,0.089116,,,,,,,,
Arkansas,0.034483,,,,,,,,
Arkansas,0.034483,,,,,,,,
Arkansas,0.063326,,,,,,,,
Arkansas,0.063326,,,,,,,,
Arkansas,0.001094,,,,,,,,
Arkansas,0.001094,,,,,,,,
Arkansas,0.026974,,,,,,,,
Arkansas,0.026974,,,,,,,,
Arkansas,0.042105,,,,,,,,
Arkansas,0.042105,,,,,,,,
Arkansas,0.019612,,,,,75.0,467.0,0.0,542.0
Arkansas,0.019612,,,,,75.0,467.0,0.0,542.0
Arkansas,0.000223,,,,0.115,75.0,467.0,0.0,542.0
Arkansas,0.000223,,,,,75.0,467.0,0.0,542.0
Arkansas,0.000532,,,,,75.0,467.0,0.0,542.0
Arkansas,0.000532,,,,,75.0,472.0,0.0,547.0
Arkansas,0.040159,,,,,75.0,472.0,0.0,547.0
Arkansas,0.040159,,,,,75.0,472.0,0.0,547.0
Arkansas,0.00086,,,,,75.0,472.0,0.0,547.0
Arkansas,0.00086,-0.22018604,,,,75.0,472.0,0.0,547.0
Arkansas,0.028208,-0.041074011,,,,75.0,483.0,0.0,558.0
